"x","y","c"
-93.5633171815425,-76.3451096136123,0
1.06011368334293,-16.727039963007,0
24.3960992433131,40.3588221874088,0
-94.5951366331428,-97.8892497718334,0
-85.3313819970936,-56.7369329743087,0
26.4497749507427,18.9690326806158,0
28.7614710628986,5.66442832350731,0
33.2367471419275,-6.68901549652219,0
39.7195617202669,6.88452743925154,0
-60.5211986694485,92.8509864956141,0
4.39075105823576,47.7468658238649,0
0.575568526983261,26.2301865033805,0
-92.4018788617104,-40.0095026008785,0
23.4467754606158,7.2721085511148,0
-89.0246837865561,-91.4248644374311,0
8.67757895030081,42.7658186294138,0
36.4159408491105,-11.5082478150725,0
-95.8948805462569,-73.409522511065,0
11.4479585085064,16.2381287664175,0
38.9990272000432,-3.95830939523876,0
5.10132894851267,48.8638327922672,0
13.3598222397268,19.3750725593418,0
34.1663429979235,3.50989885628223,0
33.912376826629,-35.4956043418497,0
6.37798346579075,-46.1608899757266,0
-81.8975624162704,83.3615235984325,0
5.32679767347872,-2.96150352805853,0
-78.7187511101365,-84.1665621381253,0
-45.8148436620831,-99.1519321221858,0
3.01790558733046,21.0383964236826,0
44.9528526049107,15.5258129350841,0
-79.3616328388453,-76.3855164404958,0
-83.3668394945562,97.0559183973819,0
38.2132521830499,-2.22334139980376,0
36.1654175445437,11.2513841129839,0
6.34314198978245,-32.4647923931479,0
36.2562464550138,-30.8049651794136,0
-35.8007692266256,96.4568767230958,0
15.5467623379081,-6.28184014931321,0
-96.9589117448777,-29.9561178777367,0
3.77489416860044,0.0926255248486996,0
-70.7598069682717,-96.505771484226,0
37.4443836510181,8.48084082826972,0
-21.8494629953057,-99.3543195072562,0
-67.1713975723833,-96.1403982713819,0
-80.6706873234361,-96.1849351413548,0
-46.444127522409,95.1800365000963,0
-97.5567658897489,-93.2289165910333,0
24.8852358665317,33.0102464649826,0
3.90155171044171,-7.62451840564609,0
9.25193806178868,-48.6007354222238,0
-84.8288527224213,91.0320428200066,0
-99.7533756308258,32.2244182694703,0
-99.7570524457842,67.5814197864383,0
2.92576528154314,47.5863484665751,0
13.1370010320097,-35.4778550565243,0
-97.9525920003653,-82.0284871850163,0
-55.1520753186196,-93.9856744837016,0
36.2121832091361,-10.6246902607381,0
34.0728877577931,-15.6664452981204,0
-75.8977757301182,95.0651072897017,0
39.0870555769652,-9.55677600577474,0
13.1371289025992,27.4976955261081,0
4.60030240938067,-6.68437317945063,0
29.7153350431472,-8.188117435202,0
39.0858755912632,-7.38743073306978,0
-99.359658639878,-67.6374189089984,0
-46.080563403666,92.957764538005,0
-88.664847239852,68.7241427134722,0
-92.8062371443957,76.9754573237151,0
-73.9224683027714,-95.67691385746,0
-77.8643261175603,66.6437631938607,0
-99.6864901855588,-79.9048148095608,0
9.30479513481259,-47.3833684809506,0
-91.3360695820302,87.835430027917,0
-46.9205234665424,89.6255644503981,0
22.7167414966971,8.50482205860317,0
-80.9042029082775,-66.7203122749925,0
19.4078733678907,35.7127226423472,0
17.575146490708,-45.9737284574658,0
8.35996144451201,-13.3489154279232,0
-99.4357974734157,-78.7484981119633,0
2.40344372577965,-6.95733530446887,0
-86.2476601265371,54.0408273693174,0
46.0216922219843,11.3759501837194,0
19.8484343942255,34.9558411166072,0
-83.8240575511009,68.5649653431028,0
-46.8362955376506,-91.1692053079605,0
-98.1971818953753,73.7670199479908,0
-48.7854892853647,-94.0513165667653,0
-94.0457253251225,-51.5181922819465,0
19.7745240759104,-5.17850564792752,0
-91.8089548591524,-56.0529324691743,0
34.9008048884571,6.73470739275217,0
6.72022625803947,-32.6502918731421,0
12.2191685717553,-23.2546645682305,0
-84.0367111377418,-93.6397748533636,0
-86.6689973045141,-85.3506526909769,0
23.6994118895382,-33.8700850028545,0
-36.3472837023437,96.9489070121199,0
-59.9895782768726,98.2760644517839,0
-83.315301546827,65.1919609867036,0
3.62412640824914,-16.4836387615651,0
-68.9188972581178,94.7903302498162,0
-84.2002132441849,55.8502081781626,0
-84.9195663817227,78.9388102479279,0
